"","RRN-SKG2-p1-65","RRN-SKG2-p1-66","RRN-SKG2-p1-67","RRN-SKG2-p1-68","RRN-SKG2-p1-69","RRN-SKG2-p1-70","RRN-SKG2-p1-71","RRN-SKG2-p1-72"
"58c7ba91102b6ee7aaab99d7b3f36c0a",0,0,191,0,68,0,0,133
"3b5f8db9835e4d85d69155b8ca5ff501",0,0,27,0,12,0,0,0
"fbe2069406aad2124b5c49ecd8652786",0,0,0,0,0,0,45,0
"191cb3debf03ffc16d837e248efb21fc",0,0,0,54,0,0,0,0
"8168fecc913b990e955fa2decb810304",0,5,0,7,0,5,7,0
"a48efa77549a0058f29816ef3038a36e",0,16,14,0,0,40,0,10
"89c959a463cd1d79fc961dd82e9bf646",21,11,0,0,0,6,15,23
"c1d24981f58599e13be2cf56914514b2",0,0,29,0,25,0,0,42
"3c21a25545f66a1d1d582e5326eaca89",0,0,0,0,0,0,0,0
"8517ed72f5e84cdc5d3bcebd03a7e2cb",0,0,0,0,0,0,0,0
"8f09353dbb511165efed328783351b0e",0,0,12,0,30,0,36,41
"95d6be85c2ab9b27e165e5ab423912b6",22,0,8,34,0,14,30,14
"c73e73b4e1f6aa7c809ffb45c9618e6d",95,31,0,141,0,97,0,35
"e2ef3abd77edd102b5b735f7877d8cf1",0,0,0,0,0,0,0,0
"6bd2185a56cff6b88545aa498073d31a",0,0,0,69,0,0,0,0
"61d0330a272f46f04f8ab58a3ca2c2ed",59,15,8,22,38,0,5,0
"40c56cb28e07fa9766002bb936d001b2",0,0,0,0,0,0,0,0
"fbc9130b19d921940dd7cb438ecd664f",0,0,0,0,0,0,0,0
"d1621b1b461a27804a2d6992b07f3277",0,0,0,0,0,0,0,0
"6a22da61897188540865f4c16c4683a4",0,0,8,9,25,0,17,0
"8a61ddbe5c3c611b20152216f324e90c",0,0,0,0,0,0,0,0
"cfb5dcb7389d1fb5a131a5f6882ea33f",0,0,24,39,10,0,5,30
"d5c23d9f95487051cd2a26b4d254eb5d",0,0,13,0,19,0,19,19
"371e17aa1dd409acab1a21231405dd35",0,0,0,0,0,0,0,0
"547c05cd6cde04a51dba35d18340f60e",0,0,0,0,0,0,0,0
"5a70c8e5e86d7559a18ac1665617c395",0,0,0,0,0,0,0,85
"0ee9b88a9a8ea5c8b3b0cd26f956ec70",4,0,14,11,0,0,12,5
"b43619cdd488df6a8695280ef7716fd8",0,11,8,0,0,0,0,0
"5d8284f5d0fe52824d7c773341c82b43",0,0,0,0,0,0,0,0
"f31cc594dfad2bdbae236d94d8fdd813",0,0,0,0,0,3,3,0
"fc4f1910689e1f8d5f98a11f522acb7b",0,0,0,55,0,15,9,7
"09b621ca6c618773238d3822c48a5b6e",0,0,46,0,39,0,0,0
"c5ab8b981b1cef0e5fedc54c1faf2c68",0,0,0,0,23,0,0,0
"b9c3d0237da5243115a34a7569922813",0,0,12,0,42,0,0,0
"4999c2174b5fa85975a36bd365ed1116",0,12,0,0,83,0,0,0
"27e5c7ef9b8985741533687d018087c4",0,0,0,0,0,0,0,0
"6db3617f51d8650ffe5278591c86f0f4",0,0,16,7,15,0,34,18
"86f95e75f420d2c03895ca7c0b078d33",0,0,41,17,21,0,14,0
"e55dcdce34559d07d72a08aa0bc3fc97",0,0,108,0,0,12,0,19
"617f0e4d900a49346bbbee1923475ae2",0,0,0,0,0,0,0,0
"86b3207da7b315a8e952cbeaeda84097",110,52,0,0,67,0,23,0
"72bb352ecf45876af527dad45469fd1c",0,0,0,0,0,0,0,0
"8fa1fb93a25503c543337086b2abb9a9",0,0,0,0,0,0,0,0
"3857c82bad8f0eedd9bd03f69ea1c3f6",0,43,0,0,31,0,0,0
"523be87e4615569d96876c7d5ecdee0f",0,16,0,0,0,0,11,0
"9d894957ef6568842f0882cf6b36595c",0,0,21,0,0,0,13,0
"fb1ad318db09b328f1824b03a3f9daf7",0,0,0,35,0,0,0,0
"d20eeb7b9c54e11324799795b40c529f",0,0,0,55,0,0,0,0
"5d5f6988be5f50f11092e05f4a87e8fe",0,0,0,0,0,0,0,0
"821f41a7282e6bb21a9a11e3eb1c351b",0,0,19,0,0,0,9,14
"2fa988aa1d6a66da0c44a3b902056b99",0,0,0,0,0,0,0,0
"1188c1b5a5140c35de894313d9ccf8d9",0,0,0,0,11,0,100,0
"a86e9c4793f91fa5d32ac92b60ab90e7",0,0,0,0,0,0,18,0
"031576b29e776dff6924cd6319f5840f",0,0,21,0,0,0,0,0
"e61530481f0a412ecdf41fba621fd07d",25,0,0,100,24,6,16,22
"ba2d2edbb55738039a206474d26aae01",0,0,0,0,0,0,0,0
"46a9bce4deb54b24813583e0f9fb9cca",0,0,0,101,0,0,0,0
"7a1c24db27e77cb05b5a05e0a9c439e5",0,0,0,0,0,0,30,0
"b4ee4abab92d20d92dc53ecefe4f25b1",0,0,0,0,0,0,0,0
"0425d580a9521c4e1a833b43bf4171e6",0,0,0,0,0,0,0,0
"cbfd0862915cf0fb23c5349aade62217",24,0,0,0,0,0,0,0
"bf210a4d333b9212ef5c19f3850a357d",0,0,0,0,0,0,0,0
"23e36755aad7ff73733fed7c3db1dbc7",0,0,73,0,0,0,0,0
"082c1b1aa45de90bca53ad835406e52c",0,0,0,0,0,0,0,0
"d319ec611d0eff414b496b2e46d5dd6f",0,0,0,0,0,0,0,0
"ca0d412ac4579bcdd14e08eb3f279978",0,0,0,0,0,0,51,0
"4e69b9303bb824e5980ada93d18e1876",0,0,0,0,0,0,0,0
"594afafd881e9e569e395a7c265ff90e",0,0,17,0,22,0,0,14
"d127a83b83ab12fb8bb5b9092670dc5c",0,0,168,0,0,0,0,11
"82d35bf6c80d4316579bdbd8f8384ec8",7,7,0,18,0,7,9,0
"694dd510053de612f7339e2747acd98a",0,0,0,0,0,0,0,0
"e477463b4dcb1a5536a6afcb70ec97bc",0,0,0,0,127,0,0,0
"94a568cc39cec1a513a616ac25053aa2",0,0,0,0,0,0,0,0
"406cd07cdc08bb7f56dbb544226a2128",0,25,0,14,10,9,5,0
"4d7f9d157bedd5d6078d6465764a53c8",0,0,0,0,12,0,39,0
"b68ab805a5fc6f497043c5e8757afa72",0,0,0,0,0,0,0,0
"40f52df59d57833dc173b1dadc29f04b",0,0,0,0,0,0,0,0
"c22ff4ffe10a315708619e87a9d53ea1",3,0,0,13,0,0,30,0
"1534624c92199f6a70c32bda79d91413",0,0,0,0,0,0,0,0
"cc5bc9e52301a4ba41a41749d7ecf988",0,0,0,0,12,0,0,0
"41138e7b60e91cac637e93bb1f9ea456",0,30,0,0,0,0,46,0
"d10251383348c3df362779b518475eb8",0,0,28,8,37,8,25,31
"8e0a24cb4d7b3f57b9854b98bb776cbe",0,0,20,0,29,0,6,15
"9b4f9e64f83ba33e2555cb8e9e71fc42",0,0,0,0,0,0,0,0
"263470bb328f33fd97d7add60e6bc232",0,0,0,0,0,0,0,0
"4ac00a18a91a648a417a7244c93be36e",0,0,0,0,0,0,0,0
"82084e55f337834751c24191dba004bd",0,0,0,0,0,0,0,0
"9fb7ddc21550f9dc2a5d738067e8a4c2",0,29,0,0,0,25,0,0
"d9463c2865b810c00f2975e8f8b6ab9d",0,0,0,0,0,0,0,0
"86eefbe75171b4039a0f9f6deb28d838",0,0,0,0,0,0,12,43
"b7e26970fe4fb166b4c409cd3743cfb1",0,0,0,0,0,0,0,0
"99f597c88d7c927dcb2706b389b701e2",0,0,0,0,0,0,0,0
"468c447767d136e8fe7769be25ae1573",0,0,0,0,0,0,0,0
"deb190ea6a267dab24ebcc3da50348c8",0,0,0,6,19,0,0,0
"300abcb8d8b103790a0d2fc80e9f0e36",0,0,0,0,0,65,0,0
"3a76ef4559c0ea07e671c3d8a1e6b94b",0,0,0,0,0,0,0,0
"d3066f3483adf9629ab70999e0559718",0,0,0,0,0,0,0,0
"ee1b185ee042acc51842a08978552a08",0,0,0,0,0,0,0,0
"f3947423334b7e0950a351b32faa2749",0,0,0,54,0,0,39,0
"b75b2aecfc2a567e3274a327fc94dfed",0,0,20,0,7,11,0,0
"1a5f2ceff57f382c9203d2bd6d313bd3",0,0,0,17,0,0,0,0
"4f7782440b4ce00e9acd21ed0b763e87",0,0,0,0,0,0,0,0
"02688e2eb3b5b09291a710e0906a7a3d",0,0,0,0,0,0,0,0
"95707419a65692ab9a928ee6b941fbce",0,0,0,0,0,8,34,33
"17d6154bc179cea3402371af55f11b69",52,0,0,0,42,0,0,0
"480cae699e90709442240687d533215d",28,9,0,98,8,8,0,0
"28961c0aa4493196a8acf5e6ce52d994",0,0,0,17,29,0,36,60
"ee61148ec398b38938d6fb529a4684ad",0,0,0,0,0,0,0,0
"370d6f4ad6ca14fbe69963a7e22f3190",0,0,0,0,0,0,0,0
"8a5391917061924c6d93bd26c1dae8d7",52,0,0,25,0,9,0,0
"a93616a02518bdffc6e2fb8fb18c2938",0,0,4,9,0,0,0,0
"959f656b91ec85c0dce68fd2bd802939",0,0,0,0,0,0,0,0
"43577e578520b2867697731105874b5d",0,0,20,0,28,0,0,63
"7e0ae4a4c53b8b6c072556d091369675",9,23,5,22,32,0,8,0
"c89006b6dbc3fa9d629b58f99d763edc",0,0,0,0,34,0,0,0
"83f0610f70d23c90fd1d2a8a6ae69e3d",0,0,0,0,0,0,0,0
"4babdfeed3fe7e5b32bd2b8bcf18d78f",19,0,13,0,7,0,6,4
"27bf9f41ee9906bc06925e25d9d53b90",0,0,0,5,34,6,11,34
"f3839ffc746a323bdf8fa2ca7b8f5434",0,0,0,0,0,0,0,0
"bf4edd2df7c2f25c72a3a7f7403f2939",0,0,0,0,0,0,0,0
"73519edee336f9786d0e65d99b7eada2",0,0,27,0,12,0,0,19
"eb672f3a7445f8f90a42abfc4e8c7eaf",0,0,0,0,0,0,0,28
"d2ea92ca90b7a198c1f884f25b39ceb8",0,0,0,0,0,40,0,0
"2afb6e26cd4c831dd556e86c8a8b945a",0,0,0,0,0,0,0,0
"133d8c66d1276ea5268ef5aa6bbbfa3f",0,0,0,0,0,0,0,0
"4950c4c131c5fb82396418508394838b",0,0,97,0,0,0,0,0
"128696fec65599e4b8dcefa3d81b156f",0,0,0,0,0,0,0,0
"44bdffe20f50409e7761ce6c63b68df8",0,0,0,0,0,0,0,0
"2f1348397bc3723c83571461f74175e6",0,0,0,0,0,0,0,0
"afc79eb6b3367a1220d88d0c526cca2d",0,0,52,0,41,0,0,15
"f54c94ed6901807823dcb725d30dc91f",0,0,0,0,0,0,0,0
"f3f2089c783d5c2917c08214dc8524a0",0,0,0,0,0,0,0,0
"e7b1e177a30713061086e77f843ec845",0,0,0,0,0,0,0,0
"614a4b2675b71192563be6cd623884dd",0,0,0,0,0,0,0,0
"48276d55d082e91e666895214adca3e7",0,0,0,16,0,0,41,0
"661b0d0311ed78ae2e9a6505ac21a860",45,7,5,0,0,2,7,0
"05b00185f105152eac8ca2df19bc6335",0,0,0,0,0,0,0,0
"329a469ca1ed160fb7b8a15917823213",0,0,9,0,9,0,9,12
"9df382506115b6c37b5d63ef2115191c",0,0,0,0,0,0,0,0
"5591f212c6ab36e52d253ce8cf551187",0,0,0,0,0,0,0,0
"854c977227dcad9f6e0f0af6255ec349",0,0,9,0,0,9,0,0
"9179082205356f48318aba87639426b1",0,0,0,0,0,0,5,0
"564d0bbc7b4b94c54ea240f27dbe8703",0,0,0,0,0,0,0,16
"9e74706d1ffd6f1179c84e52522e1c57",0,0,0,0,0,0,0,0
"767fa7465642a46499b2010ed8928868",0,0,0,0,0,0,0,0
"70f42e854a461e43059f7b9de9e9f2c5",0,0,0,0,0,0,42,0
"0ecf0e8a7d22a5057e24de85267a6c2c",0,0,0,0,0,0,0,0
"603e6fec765baa9e211b341d9681edc5",0,0,0,0,0,0,0,0
"a08b7b49ec40cb54798e50301d1f7ef1",0,0,0,0,0,0,0,0
"35c84355a4a5bbf43c5dfac8df5ae5d5",0,0,0,0,0,0,0,0
"914a1a6a799f5c7e93b2b4be591efa17",0,0,0,0,0,0,0,0
"1d00e65ce5cd609740b8c6c93a13f8d6",0,0,27,0,0,0,0,24
"87b1542dc63d488af173174a6f10373e",0,0,0,0,0,0,33,21
"5ebf9c875cfb93e90709cb213f85bbce",0,0,0,0,0,0,18,0
"73a0679f6a8e94a0f5ab6bbc96408ab2",0,0,0,0,0,0,0,0
"245ca4dc28ad34e584b437f30a90f25c",43,0,0,0,20,0,70,17
"2cabbe9e8a6f88d2831ac023efe4cc59",0,0,0,0,0,0,0,0
"58013c3ca62bc22ff75bc89441d0c2eb",0,0,0,4,0,5,7,3
"2fde0ce7d30f8aac9fdb18cdc3b72edd",0,0,0,0,0,0,0,0
"4fcef1b8213a888768fe7d39575d799f",0,0,0,0,0,0,0,59
"4cdfe4ce24f411be533e6d6e39f80f99",0,0,0,0,0,0,0,0
"31a1d700684c1da886c8318e58498908",0,0,0,28,0,0,0,0
"cdcb05bc054fc27f1c9fc862f29d2151",0,0,11,0,4,0,38,22
"d002c2b7e2cac141277f748e1985456d",0,0,0,0,33,0,108,9
"ff396977830818af2f1e5a9e82c905b0",0,0,0,0,0,0,0,0
"a3a21c22b0f7c413a2a03bd1ebf85d5b",0,0,0,0,0,0,25,0
"e466b900b7449f721331a4f0cb54f892",0,0,7,0,0,0,0,0
"188a1d201da93f64800d8e5aeb07f321",0,0,0,0,0,0,0,0
"8a9dc827e94d83b5bb844aa84d2c0f1a",0,0,0,0,0,0,0,20
"434d33160b6b9886045d5039bb5c2a01",0,0,0,0,0,0,0,0
"07867aa62e61d7d8007bb939bfaa187e",0,0,0,0,0,0,0,0
"b5f2737410ab2afeb26fe41f944e7886",0,0,0,0,0,0,0,0
"d186812ad77fb5272ec60a5bbea2cc22",0,0,0,0,0,0,0,0
"dc6b03c323503811ef45082ca6527cd0",41,25,0,0,0,0,0,0
"cf35aa81e84e952c007665f6ee6b4347",0,0,26,0,0,0,0,0
"22b16034d603a8d284a7b4096be1700c",0,0,13,0,11,0,0,16
"0c3934bcaf6bc60d41ddfb4a61bef05d",0,0,0,0,0,0,0,0
"3457fa09a34e235b94630e3c6c94b8b6",0,0,99,0,0,0,11,37
"423b6765ea58723ab2d34b6962c78d9d",0,0,0,0,0,0,0,0
"59f0e787dff3307f487672471717f5a5",0,0,0,0,0,0,0,0
"50041c4fa838e39d325dfa2797e1b71c",0,0,0,0,0,0,0,0
"915b33f239b22bcde31aac43ba205959",44,49,0,0,0,0,0,0
"e006760f0670e31f76941654f64a15a4",0,0,0,0,0,0,0,0
"1e3a57610f5c3906cedd6351f9e60bb0",0,0,0,0,0,0,0,0
"1c4847a64fdfa78a6094a2b60936d0b0",0,0,0,0,0,0,0,0
"570ab9a74b810cb4627106c308d8b27e",7,0,0,0,27,0,0,0
"962edaff21602a3cf7e7a92693601fb2",0,0,35,0,0,0,0,0
"cd2d1c880543440df16252c701b79fdb",0,0,0,0,0,0,0,0
"f443f7ebf6b4c844cf9660e7d586c2a9",0,0,0,0,12,0,0,0
"e6f075040958bbbb1965e921d02c3625",0,0,0,16,0,0,0,36
"9ede21367fadb803e5210adf65fa6203",0,0,0,0,0,0,0,0
"dcea7192b071c939337560d2acd0f0fc",0,0,0,0,0,0,0,0
"0ba63cdd90c33a883cd334cad68a7b93",0,54,0,0,73,0,0,0
"c8332928d52ce20e6d1f8dc65a5501e1",0,0,0,0,0,0,48,0
"18066d4ea972d9c36bc7b865466cd6eb",0,0,0,0,0,0,0,0
"55aa0a10f68cd2f4aad5ecaaf16a8e2e",0,0,0,0,0,0,0,0
"60a7f97f70e9dde1617cb71106445c29",0,0,10,0,0,42,0,0
"7d19f9bd5111a17ae114d62c7d5d3e7e",0,0,0,0,0,0,0,90
"4dc17c8f0721eed9f53e16754e99f303",0,0,0,0,0,0,26,0
"094424708b3576ff807385c25ad6428b",41,0,0,0,9,0,0,23
"73e263ecfb48d6b0434687e336efd7c7",0,0,0,0,0,0,0,0
"5f2eb252e77a73e324fc6cd6849f9c2e",0,0,0,0,0,0,0,0
"c9dc273ad04e8b892c50b3255932e3ff",8,0,0,0,0,0,0,0
"76939332ece15841e96539ec7fc801fb",0,0,0,0,29,0,0,0
"0a98bb6f5ad1e2f2623c71a4d380c6bd",0,0,0,0,0,0,0,0
"e3a427018c01e3e246f7d74de044b410",0,0,43,0,0,0,0,0
"fe32aee9746c2fedb9e7b82ef6cae12a",0,0,0,0,0,0,0,0
"657c89fe0e618d21a1daed79cff8a6d1",11,12,0,0,0,0,0,0
"f9e750ee58a7bc17b87edc80dd07f456",18,0,0,0,13,0,0,9
"6d8d835cff05956f62c9bb99610206f6",0,0,0,81,0,0,0,0
"fe5a45be27400c1c6d596ea7dd95f147",0,0,0,0,0,0,0,0
"901e174c9c45678405fda125166ff943",0,0,0,0,0,0,0,0
"ed2445e0296bda2812fbad20383e461f",0,0,0,0,0,0,0,0
"94e1ce4bbbed8aed7c95d0a0b492b4e9",0,0,0,0,0,0,0,0
"fc6cb2e8301897d52d23d9c4390bcb77",0,0,0,0,0,0,0,0
"911100d1473be1413081bef0a66b12d4",0,0,0,0,0,0,0,0
"a828645e7bd1ced5a520f40d2ac9f75e",0,0,38,0,0,0,0,0
"28fd288117b510efbe41e7cb97fe783b",0,0,0,0,0,0,0,0
"885e3ed5d22909a8d2947a7dc60efbef",0,0,19,0,15,0,0,0
"df1dd41fc64eb33cb587bb0215ee4aaf",0,0,0,0,33,0,60,0
"7fb9ec6296b13a71a6341ef0be801f54",0,0,0,0,0,0,0,0
"ad921d3a85bf59fd400a1b0b77908645",0,0,0,0,0,0,0,0
"306e31ae31e2479962fd9f5e95660548",0,0,0,0,0,0,0,0
"55fc5cc97e2bd6feb4337f5410ccb5f4",0,0,0,0,0,0,0,0
"e945923c4a86c3464d457dd927180b3b",0,0,0,0,0,0,0,0
"eed5bd92deddbb78ef353dedf965b121",0,0,0,0,5,0,0,0
"c6e06c9580fd5d68dff9a758617808b0",0,0,28,0,0,0,0,12
"1ad120f7f9c28add036099e7ec87ddf9",0,0,17,0,15,0,0,0
"10121707af6e000f5e118671d3206552",0,0,0,0,0,0,0,0
"592ffedf7f7221039afc844b2f4fdc66",0,0,16,0,0,0,0,0
"516f20f4d56455e0f3d845218c58e9cc",0,0,0,0,0,0,0,0
"02457515469783321dda28e70a5ef7fa",0,0,55,0,0,0,0,0
"683561fc45aa96bfa47cc9a9d40a3508",0,0,0,0,0,0,0,0
"6fa5d3c14df36ca541c6005d1de231e6",0,0,0,0,0,0,0,0
"817d85b29971b63620ae27927a4592af",0,0,5,0,0,0,0,4
"8ba95f8e792dbdba22cf77c82df46b85",0,0,0,0,0,0,0,0
"90342167274b3f1ad909276b61d43a1e",0,0,0,0,0,0,0,0
"d0849a67c04102ad358087c75434a5c9",0,0,0,0,0,0,0,0
"c7572bd5051cec0c6dad00f12d7027e0",7,0,10,14,0,5,6,8
"6457169ac88273f960ba15b9d2b35ad0",0,0,0,0,0,0,0,0
"da20d1f1b265fc24a4a067ee26e75523",0,0,0,0,0,0,0,33
"d71378d1aa888604d3e4b724fd7eee32",0,0,0,0,0,0,0,0
"6d9088d07066ac1c94533fb371882fbf",0,0,0,12,0,0,0,0
"b054aca2fa49ab0f8e9328b3462b740f",0,0,0,0,0,0,0,0
"372c86760c45f764484c39e1a793c13f",0,0,0,0,0,0,0,0
"f1bbbec5060a19aa6e60e763fd9acfce",0,0,0,0,0,0,0,0
"471f2b8a819ec4b149575ab19120fd43",0,0,0,0,0,0,0,0
"3d3bd35f74b66c33886ff14bb29894c7",0,0,0,0,0,0,0,0
"eefbc5a84484425f43ff2afa40cda808",0,0,0,0,0,0,0,0
"b229e9901960bbe9051ad335562593df",0,0,0,0,0,0,0,0
"254546dc264297ec38a4a6dac21fbb2d",0,0,0,0,0,0,0,0
"01e005f5ad33cc0401540f9feb475793",0,0,11,9,0,0,0,0
"fcd5c13b563ef5732680804f43dc4c22",0,0,0,0,0,0,0,0
"f4b9b09302fa36ca42830b148de524ad",0,0,0,0,0,0,0,0
"86e4f6fdc3bf7fbc6ea4336fdeedd97b",0,0,0,0,0,7,0,0
"814a6491e4f2e054f75ffb9fa643f91f",6,0,6,0,8,0,0,8
"3672bcae06908c6bc868d21551a00308",0,0,0,0,0,0,0,0
"33d833eee38383b7f95138af9d0af140",0,0,0,0,0,0,0,0
"96a6845d4c70ec07d4b3138cd0b3972f",0,0,0,0,0,0,0,0
"48bd6d53d89110cdf7750bf54f96206e",0,0,0,0,0,0,0,0
"f52fcb1370d25721624041cefcc6794a",0,0,0,0,0,0,0,0
"9f1a9d9e18f0609dd1fe45e2e2bd57ed",0,0,0,0,0,0,0,0
"135cfb6e1049601165b69f41f18b2e6f",0,0,0,0,0,0,0,0
"8c04e688ebd9fa0ca8078526f67e6cd7",0,0,0,0,0,0,0,0
"70d8204f8fbcf1b0f812f08b82034008",0,0,0,0,0,0,16,0
"216dac73c83804ef60ed2f44aba05907",0,0,0,18,0,0,0,15
"ed5fd0be394d82a47988fcfbaf243fbe",0,0,0,0,0,0,0,0
"4cfe21644c4ac244d79cd6d4baab1947",0,0,12,0,0,18,0,0
"6cec9cc154457b7bcb00a6e118555875",0,0,0,0,15,0,6,6
"ca08ead33395f9c9b0e0e4cd5c63000d",0,0,11,0,18,0,0,0
"2cc1afe613079292ccf3c45fd65ace47",29,0,0,0,45,0,0,0
"372854dab4e7e92ab60b3f29e38c9924",0,0,0,0,0,0,0,0
"5a963a44a6f99d6325b5a60ff164d186",0,0,0,0,0,0,0,0
"00620321a155fdb55e60040a93c01525",0,0,0,0,0,0,0,0
"cf7ded3745acc0772f4e9a6363681108",0,0,0,0,0,0,0,0
"edc72a54d6830abb34b5ca91d36e68ff",0,0,0,0,0,0,0,0
"c2f0cd548d1a87ba171d517cfe087f1a",0,0,0,0,0,0,0,0
"571e2c20b04ef33c816e96c4f98a1f0c",0,0,0,0,0,0,0,0
"117f855404736cdc2c6aa65135197cf3",0,0,0,0,0,0,0,0
"cab47219fdc78edf50890c41ff34d57c",61,0,0,69,0,0,0,0
"cab121e47adc32b3ef4672f97f5ae0cc",0,0,0,0,10,0,0,20
"3d4d506b956a71635ccf7bb2c3b98ee0",0,0,0,0,0,0,0,0
"1da924f9f1a5eb197f18c98773c2f0c9",0,0,0,0,0,0,0,0
"c165f4d27ae206eb68c2fc89c1516649",0,0,0,0,0,0,19,0
"dbaa6a536dab3d4f1589416082d82c0f",0,0,0,0,0,0,0,0
"671b4cb13c30736673dc410d409a3aca",0,0,0,0,0,0,0,0
"c2c558f4dee772dc7874db784d76cb5f",0,0,0,0,0,0,0,0
"a4b487494862f71e4969a95b8f3ec239",0,0,0,0,0,0,0,0
"012dcdff53409e7c934f24e9b9c52f28",0,0,0,0,0,0,0,0
"96e125fa583676bef8e0c40e34c2523d",0,0,0,0,0,0,0,0
"2358df28ab58699505715869111dddbd",0,0,0,0,0,0,0,0
"dc0fd08aed46047adc66faa436d8352b",0,0,0,6,10,2,0,0
"866a8f8893c04e1500558380682ba9d4",0,0,0,0,0,0,0,26
"51a8d5697d6a6fc543f2562aacc07f79",0,0,0,0,0,0,0,0
"1b5fed9a9bbf47c2ec93d02a56e978ca",0,0,0,0,0,0,0,0
"9d5559656e69b0807472ab3ce4f9ebda",0,0,0,28,0,0,3,0
"796e801b1279ba8821b936a1393883d7",12,0,0,0,0,0,0,0
"f142a86a7dd1587ec5a5a08273aecfaf",0,0,0,0,0,0,0,0
"33022141594a26f64007d7ec7d3e49f2",0,0,0,0,0,0,0,0
"668754f66fdefae32ccbe568c3f28ccb",0,0,0,0,0,0,0,0
"bcbb7bc1f738284962877dc7883a849d",0,0,0,0,0,0,0,0
"0c443f8eafbc5251449777704e5284f5",0,34,0,0,0,0,0,0
"40959ad7a3eb84ce2491fa3117a1a4e0",0,0,0,0,10,0,20,0
"638ad3806ed5f0839bdcef6a6febd18d",0,0,0,3,0,0,0,6
"d4689bc9953b411107dff05f24a57de1",0,0,0,0,0,0,0,0
"68ed57ace865e38ad89bb9d7c4d30a3d",0,0,0,0,30,0,0,0
"517c4e5aa45d44b3b998936d85482760",0,0,0,0,0,0,0,0
"ecd300e1c863e28b5276a968b0a7a1f7",0,4,0,7,0,0,0,0
"a750652ee97906865f6dd455cc36fa05",0,0,0,71,0,0,0,0
"856a9ca9eadd9772e559d27721b37bf9",0,0,0,0,0,41,0,0
"0e9250a6381dbabed3f0d69951c9f442",0,0,0,0,0,0,0,0
"f56d9b587affd190b8d10801bb9d603b",36,0,0,0,0,0,0,0
"7dd93ae46821038682c068ced4636077",0,0,0,15,0,0,7,0
"7360d419a9403dab65fad19080a3db19",0,0,52,0,0,0,0,0
"26c566752c88eeb300a3367b0efae2b5",0,0,0,0,0,0,0,0
"90e9365ff79532dd126a3a9e5a756f9a",0,0,0,0,0,0,0,0
"9c8bfa174583e3d238c32a4081093daa",0,0,0,0,0,0,0,0
"e0f4395f69583f9d831c3f59a3139e78",0,0,0,0,0,0,0,0
"046b079be722d6f92993c83e8fa67756",0,0,0,0,0,0,0,0
"a9d064b7907cbd9ba0d00ac827a32dcc",0,0,0,0,0,0,0,0
"cbaafa6ba1ac1cf325e9a675779e71bc",0,0,0,0,0,0,0,0
"8cb1a447f8faacc6f1f1f5c5eea8692e",0,0,0,7,0,5,8,0
"8aacd128ab3f9270abab2d8a72334c1f",0,0,0,0,0,0,0,0
"ae4c5d0cd48fd9bbda2bbdd6b5a569db",0,0,0,0,0,0,0,12
"cc8eecf16bd4f5b8a05dc6d33a8b8447",0,0,0,0,0,0,0,0
"cf63fe4feb44cfd23ccb0e29cc9a2603",0,0,0,0,0,0,0,0
"0b00637b4425a29408095fd6de15d124",0,0,0,0,0,0,0,0
"8718f0a0cfedd053b041bda144be5999",0,0,0,0,0,0,0,0
"032c2fcb62258a5606da98c201756ac2",0,0,0,0,0,0,0,0
"6761435f06567394383f9e1f65350b01",0,0,0,0,0,0,0,0
"08c035ba50f8d4d5e2922bd53d533ac8",0,0,0,0,0,0,0,0
"bfd71ee14a321860b93d7de96e42645b",0,26,0,0,9,0,0,0
"0b68c0d8a7bdd039c1f7e05d3eb5ef35",0,0,0,0,0,0,0,0
"6cf17c0bfdd3c53959957209c1d3acaf",4,0,0,0,0,0,0,0
"8749a8f7c8be7c7ee3da7885a2b28b62",0,0,0,0,0,0,0,0
"2d3e180d8d0a04d51f8f73fc20552e0a",0,0,0,0,11,0,32,0
"dfb1fd5e007ae8e37a76b2b66addb24d",14,0,0,0,0,0,0,0
"c65513f7b730df0e3998be140b0f49ac",0,0,0,0,0,0,0,0
"e425ec09fcc5df8a6d0f98ace9ddd880",0,0,0,0,0,0,0,0
"632f1675faf9485d602bf8759594a23b",0,0,0,0,0,0,0,8
"3f8f7f4e80bf7f44bdb52aee2daac278",0,0,0,12,0,0,0,11
"534359e18c3d1be9ea9f4224d86fc878",0,0,0,0,0,0,0,0
"17fa3424257ca5c653a05cb8d871fefc",0,0,0,5,0,0,0,0
"9ce73e0d4cc30404fd4a5a46676398e3",0,0,0,0,0,0,0,0
"bd11abe49e880057b4eb4e86213b34d9",0,0,0,0,0,0,0,0
"724538d33e157040c5d7f154a7815b47",0,0,0,0,0,0,0,0
"b877af1162a15f682ddf81cb4e4b6484",0,0,122,0,0,0,0,0
"c6e810cef2751f5a11f6f231d32b9cc8",0,0,0,0,0,0,0,0
"7522979de2ea67f25d6310ef55186b06",0,0,0,0,0,0,0,0
"ce306cb04429744933d9629c5f19a836",0,0,0,0,20,0,0,0
"48258f7ad46d0f53918ad23388340c54",0,0,0,0,0,0,0,0
"9c04af282f931a102793a403635a8edd",0,0,0,0,0,0,0,0
"8e2fe255ae20819ca6b83bc2fe028e2a",0,0,0,0,0,0,0,0
"f9a27fcf92575fe1239dbef43e15b33f",0,0,0,0,0,0,0,0
