"","RRN-SKG2-p1-65","RRN-SKG2-p1-66","RRN-SKG2-p1-67","RRN-SKG2-p1-68","RRN-SKG2-p1-69","RRN-SKG2-p1-70","RRN-SKG2-p1-71","RRN-SKG2-p1-72"
"b46d626504e4d76b762cea230ab118f2",92,140,0,0,0,100,0,0
"36cea88ef583f67d3a52984894f65715",0,0,0,0,0,0,0,0
"dd529174080cebdb024f3e4d9bdd445d",0,74,57,14,133,12,0,99
"a0800ab251ba81491f76bd9fe4302bf2",56,345,18,39,216,75,91,25
"2b941653d30daf6a50a4b78170472652",1106,39,63,0,197,49,139,509
"2613b4b2d006dd9bc1b9dc8904a3f766",148,94,176,0,112,61,158,56
"438fb020cf251f2c2f4e89552e4a78ff",0,0,0,59,0,64,15,0
"ffb89bf74719fd1007193a724b718b52",6,51,260,0,75,8,46,51
"8ba00d4f6a265baf153471331a0558fc",0,0,131,1912,0,0,146,43
"67dabcca2b2e37bedc0505eb9112c387",332,0,128,25,102,57,181,58
"f00b40d9dfd549fc8240a0dec837bf53",0,0,0,0,0,0,0,0
"13c07d678a73558a30551df04730edb1",424,47,93,106,156,45,20,23
"96bb35ad57d9c30cfb576f6f7440308a",40,48,89,0,64,0,49,151
"263d0a190cbfd2e575aef3235aa9b436",26,31,18,40,13,33,59,18
"f8daf40b2587101f94d6d4bfeb1d11d5",0,0,361,0,1483,0,204,246
"bee5a689430c7e5618820f3d2c601981",0,0,0,0,0,488,0,150
"fa3d5c2935a9c53b20ced338d2075a69",108,155,0,0,25,139,0,0
"5304ca26b82fbfd97adc1f725bcc9133",0,0,0,0,0,0,0,0
"a33fb9559e6006647c10f7a323dea54e",65,82,27,0,366,47,12,0
"092d4585b8b75897b214ea1d45fe19f0",80,82,101,236,38,62,138,38
"d8f123d97b4fbc3dba79622d01d2747a",0,0,0,0,0,0,0,0
"83bdb2d026a7c79f2f9b858f0c171c70",70,43,31,448,15,76,51,31
"3f408486b8a7486bb4466732ec7740cb",72,62,48,15,322,25,280,386
"ad22d170d549ba4db81211353bc8568e",185,0,149,131,242,0,36,0
"49387f7b73d905e75b5ec8559b75a937",0,83,143,0,376,23,0,7
"d4f63e5e348cb7f2d033d3a28d8fa1d3",196,37,117,85,76,24,82,117
"5b643b8c822a6a791cb320a3af5c8ed4",366,163,0,0,49,0,0,0
"00c3c59e2bb028eeef1be0c19526d989",0,0,0,67,0,0,99,0
"de903f144fcf6440572387e2c24a0651",0,0,68,0,0,0,98,37
"9a30c00b891302a4b54a45efbac94641",173,39,195,10,310,7,192,124
"049343c9e656ac2f7451533fb567e3d2",0,90,0,0,208,0,0,38
"3df90b281d312e08bd8b79c9e535d625",42,53,194,16,133,16,0,0
"47e502f3606777b0c5aa1630dda7df87",124,0,0,0,129,0,96,79
"c6b5af7e07b9b826ae97b6c03156c6f7",0,0,79,1009,0,0,54,204
"b90f7bd0c6c341cbd12e420ca0e66566",106,67,45,0,314,13,12,0
"57949094538fec707cb6cbcadc00a32c",0,0,1701,0,0,0,0,69
"c440a62b6ccd1e12766c1adacf0e8ebe",21,21,21,218,14,51,30,13
"91259fa701297313807b29ea733b4ad8",0,0,0,0,98,44,0,125
