,1,2,3,4,5
auc(roc),1.0,0.8125,0.7777777777777779,0.9833333333333334,0.7333333333333334
auc(pr),1.0,0.8416271228771229,0.8073817055959913,0.9835497835497835,0.7692869167869167
f1,0.8348813209494325,0.75,0.8102941176470588,0.8147058823529412,0.6807359307359307
mcc,0.7135060680126758,0.5,0.6831300510639732,0.6831300510639732,0.3133397807202561
