,1,2,3,4,5
auc(roc),0.9821428571428572,1.0,0.96875,1.0,1.0
auc(pr),0.9841269841269841,0.9999999999999999,0.9680555555555556,1.0,0.9999999999999999
f1,0.9333333333333333,1.0,0.8380952380952381,1.0,0.7184873949579833
mcc,0.875,1.0,0.7071067811865476,1.0,0.5291502622129182
